rank    gene_id gene_name       score
1       Entrez:368      ABCC6   84.62940470377605
2       Entrez:5167     ENPP1   69.57813326517741
3       Entrez:54790    TET2    57.23555533091227
4       Entrez:64132    XYLT2   57.030126889546715
5       Entrez:3949     LDLR    55.80375734965006
6       Entrez:64240    ABCG5   53.74869124094645
7       Entrez:348      APOE    53.691530545552574
8       Entrez:462      SERPINC1        51.44988568623861
9       Entrez:255738   PCSK9   50.51583385467529
10      Entrez:2162     F13A1   50.0550905863444
